lora_mac-INFO-  2021-08-01 18:01:28,953-Init MAC
lora_phy-INFO-  2021-08-01 18:01:28,953-Init PHY
lora_phy-INFO-  2021-08-01 18:01:28,957-PHY TX:mac pause
lora_phy-INFO-  2021-08-01 18:01:28,970-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-01 18:01:28,986-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-01 18:01:28,995-PHY TX:radio rx 0
main-DEBUG-  2021-08-01 18:01:31,022-[4: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-01 18:01:31,023-[4: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-01 18:01:31,025-[4: INFO: LoRa MAC  ] Node ID: 24859
main-DEBUG-  2021-08-01 18:01:31,028-[4: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[4: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-01 18:01:31,028-[4: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-01 18:01:31,037-[4: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-01 18:01:31,037-[4: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-01 18:01:31,038-[4: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-01 18:01:31,039-[4: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-01 18:01:31,053-[4: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-01 18:01:31,069-[4: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-01 18:01:31,079-[4: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-01 18:01:32,085-[5: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-01 18:01:32,096-[5: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-01 18:01:32,113-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-01 18:01:32,113-RX process receive
lora_mac-DEBUG-  2021-08-01 18:01:32,113-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-01 18:01:32,113-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-01 18:01:32,114-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-01 18:01:32,114-look child with prefix: 27
lora_mac-DEBUG-  2021-08-01 18:01:32,114-child is: None
lora_mac-INFO-  2021-08-01 18:01:32,114-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-01 18:01:32,114-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-01 18:01:32,114-send join response
lora_phy-INFO-  2021-08-01 18:01:32,114-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-01 18:01:32,115-RX process: mac_rx end
lora_phy-INFO-  2021-08-01 18:01:32,115-PHY TX:radio tx 0100001B611B010002
lora_mac-DEBUG-  2021-08-01 18:01:32,115-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-01 18:01:32,115-can listen: True
lora_mac-DEBUG-  2021-08-01 18:01:32,115-is_listen: False
